municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tailândia,0,0,0,0,0,0,0,0,"1,05",0,0,0
Terra Alta,0,0,0,0,0,0,0,0,0,0,0,0
Terra Santa,0,0,0,0,0,0,0,0,0,0,0,0
Tomé-Açu,0,"0,78",0,0,0,0,0,0,"2,47",0,0,"1,64"
Tracuateua,0,0,0,0,0,0,0,0,0,0,0,0
Trairão,0,0,0,0,0,0,0,0,0,0,0,"6,9"
Tucumã,0,0,"8,33",0,0,0,0,0,0,0,0,0
Tucuruí,0,0,0,"3,7",0,0,0,0,0,0,0,0
Ulianópolis,0,0,0,0,0,0,0,0,0,0,0,0
Uruará,"0,75","1,17","0,83",0,"0,61",0,"0,88","0,67","0,53",0,0,0
Vigia,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,0,0,0,0,0,0,0,0,0,0,0,"3,3"
Vitória do Xingu,0,0,0,0,0,0,0,0,0,0,0,0
Xinguara,"5,56",0,"6,67",0,0,0,0,0,0,0,0,0
