municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tomé-Açu,"12,42","10,16",100,"9,43","16,89","21,11","4,55","14,58","4,94","10,53","4,26","8,2"
Tracuateua,0,0,0,0,50,0,"33,33",0,0,0,10,"6,25"
Trairão,"3,92","5,41",0,"9,68","7,14",0,4,"4,76","4,35",20,"3,23","3,45"
Tucumã,0,0,0,"4,17",0,0,"12,5","5,71","6,25",0,0,"9,09"
Tucuruí,"4,17",0,100,0,0,5,"6,25",0,0,"5,26","8,33","6,25"
Ulianópolis,"4,3",0,100,"7,06","3,08","3,23","4,92","3,39",0,0,0,0
Uruará,"5,97","7,6",100,"6,99","9,2","10,88","5,26",8,"20,21","4,44","8,26","10,83"
Vigia,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,0,"5,56",100,"9,09","19,51","11,11",10,"10,34",0,"11,11","12,5","14,29"
Vitória do Xingu,0,0,0,0,0,"4,55","4,35","3,7",0,0,0,0
Xinguara,0,"8,33",100,0,0,25,0,0,"6,25",0,0,0
