municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rio Maria,"82,35",60,"66,67",100,100,100,100,100,100,100,"85,71",100
Rondon do Pará,"98,25","86,21","90,32",80,"80,7","76,34","85,45","92,21","93,33","80,95","97,78","93,75"
Rurópolis,"91,3","80,65","78,13",75,"95,35","97,44","97,3","97,62","94,59","87,5","93,33","93,18"
Salinópolis,100,100,100,100,100,100,100,100,100,100,75,100
Salvaterra,100,100,0,0,0,0,0,100,0,0,100,"66,67"
Santa Bárbara do Pará,100,100,0,100,100,0,100,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,100,100,100,0,100,0,100,100,100,100,0,100
Santa Luzia do Pará,"66,67",100,100,100,"55,56","69,23",100,100,100,100,100,"94,44"
Santa Maria das Barreiras,100,100,"93,33",100,60,75,"91,67","66,67","88,89",100,100,100
Santa Maria do Pará,"85,71","88,89",75,100,100,"66,67","83,33","71,43",25,"66,67",100,100
Santana do Araguaia,"92,59","87,5","90,24","97,22",100,"93,33",100,"86,67",100,100,100,100
Santarém,"99,4","99,43","99,33","98,91","98,71",100,"98,97","98,68","91,36",90,"94,32","98,02"
Santarém Novo,100,0,100,100,100,100,0,0,0,0,0,100
Santo Antônio do Tauá,100,50,100,0,100,100,"71,43",100,100,0,0,100
São Caetano de Odivelas,0,0,100,0,0,100,100,0,75,0,100,0
São Domingos do Araguaia,"33,33","3,85","6,25","8,57","82,76",25,100,100,100,75,100,100
São Domingos do Capim,100,0,100,100,100,100,80,100,100,0,100,100
São Félix do Xingu,"97,67","97,5","94,59","77,78","83,67","94,29","94,74","79,03","91,14","85,29","93,33","91,67"
São Francisco do Pará,100,100,100,100,100,100,100,0,0,0,100,90
São Geraldo do Araguaia,100,"83,33","92,31",100,"93,33",100,100,"95,45","97,62",100,100,100
São João da Ponta,0,100,100,100,100,100,0,100,0,0,0,100
São João de Pirabas,0,100,100,0,100,100,100,100,100,0,100,0
São João do Araguaia,"85,71",100,50,100,100,100,100,100,"94,12",75,"82,35",75
São Miguel do Guamá,100,100,100,"88,89","87,5",100,100,100,50,0,100,100
São Sebastião da Boa Vista,"33,33",0,"66,67",50,75,100,100,75,100,100,0,0
Sapucaia,100,0,100,0,100,0,0,100,100,0,0,50
Senador José Porfírio,100,100,100,100,"94,44",100,"72,73","93,33",100,"69,23",100,"92,31"
Soure,0,0,100,0,100,0,0,0,0,0,0,0
Tailândia,"88,37","96,72","96,8",100,"98,18",100,"98,61","98,31","97,87","92,31","97,44",100
Terra Alta,0,100,100,0,"66,67",0,100,100,100,100,100,"66,67"
Terra Santa,100,"85,71",100,100,50,"90,91",100,"80,77",100,100,"33,33",80
Tomé-Açu,"94,12",84,"89,05",78,"77,27","64,08","79,07","94,74",90,"97,3",100,100
Tracuateua,100,100,100,100,100,100,100,100,0,100,80,100
Trairão,"98,04",100,100,"93,55","85,19",76,"95,83","96,43",96,100,"93,75","96,67"
Tucumã,"94,44",100,100,100,100,"88,89","73,91","34,88","47,62","25,81","42,86",68
Tucuruí,"97,01","98,46","96,15","89,66","94,29","96,83","96,23","97,37","96,36",100,"95,65",100
Ulianópolis,92,90,"88,73","91,67","91,3","94,03","95,31","89,29","84,21","77,78","90,32","88,51"
Uruará,"98,45","99,4","96,83","98,58","96,34","98,67",100,100,100,"97,62",100,100
Vigia,100,0,100,100,0,0,50,100,0,0,50,50
Viseu,100,"90,91",100,100,"97,44",100,100,100,100,100,100,100
Vitória do Xingu,100,100,100,100,90,85,"90,48",96,"90,48","81,82",100,"94,74"
Xinguara,100,100,"92,86",100,100,100,80,"88,89",75,"91,67",100,100
