municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Santana do Araguaia,"3,92","18,18","4,35","2,7","9,52","7,14",0,20,0,0,0,0
Santarém,"5,13","1,5","5,69",0,"0,97","1,83","1,89","3,88",0,"3,57","2,38","3,64"
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,0,0,0,0,0,0,0,0,0,0,0
São Caetano de Odivelas,0,0,0,0,0,0,"33,33",0,0,0,0,0
São Domingos do Araguaia,0,"9,09","31,25","13,33","6,9",0,0,"14,29","33,33",0,0,0
São Domingos do Capim,0,0,0,0,0,0,0,0,0,0,0,25
São Félix do Xingu,"3,57",0,"2,86","4,76",0,"3,33","2,44","2,86","1,28","2,5",6,0
São Francisco do Pará,0,0,0,0,"11,11",0,0,0,0,"33,33",0,"57,14"
São Geraldo do Araguaia,"7,14",25,0,"14,29","26,67","33,33",10,"4,55","7,89",50,0,40
São João da Ponta,0,100,0,0,100,0,0,0,0,0,0,0
São João de Pirabas,0,0,0,0,0,0,0,0,0,0,0,0
São João do Araguaia,20,0,0,"11,11",0,"18,18",0,"15,38","15,38",0,0,0
São Miguel do Guamá,0,"33,33",0,0,0,0,0,0,0,0,0,0
São Sebastião da Boa Vista,0,0,0,0,50,0,0,0,0,0,0,0
Sapucaia,0,0,0,0,0,0,0,0,0,0,0,0
Senador José Porfírio,"3,03",0,0,"6,67",0,0,0,"4,76",0,"5,26","6,25",0
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tailândia,"3,31","4,04","2,22","2,04","1,72","1,2",0,"1,16",0,0,"3,17","1,79"
Terra Alta,0,50,0,0,0,0,0,0,0,25,0,"33,33"
Terra Santa,0,20,0,0,0,0,0,0,0,0,50,0
Tomé-Açu,"1,31","3,13","2,88","3,77","1,35","1,51","6,82","2,08","2,47","5,26",0,0
Tracuateua,50,0,0,0,0,0,0,0,0,0,0,"3,13"
Trairão,0,0,0,0,0,0,4,"4,76",0,0,0,"3,45"
Tucumã,0,0,25,"12,5","15,79",0,"6,25","5,71",0,"11,54","10,71","13,64"
Tucuruí,"8,33",20,"9,38","7,41","12,5",0,0,"8,33",10,"15,79",0,"6,25"
Ulianópolis,"2,15",0,"3,03","1,18","1,54",0,"1,64","1,69","3,45",0,0,0
Uruará,"4,48","2,92","8,33","3,5","2,45","3,4","2,63","0,67","5,85","6,67","3,67","0,83"
Vigia,0,0,0,0,0,0,0,0,0,0,0,50
Viseu,"15,38","5,56",0,0,0,0,0,0,0,0,0,"1,1"
Vitória do Xingu,0,0,0,0,0,0,"4,35",0,0,10,0,"4,55"
Xinguara,"5,56",0,"6,67","6,67",25,0,20,0,25,25,"6,67","12,5"
