municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sapucaia,100,0,50,0,0,0,0,0,0,0,0,0
Senador José Porfírio,"94,12",68,"87,5",100,"94,44",100,"90,91","93,33","90,48",100,"94,55","92,31"
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tailândia,"97,67","89,34","96,8","67,44","94,55","87,18","77,78","23,6","98,94","46,15",100,"98,28"
Terra Alta,0,50,50,0,"66,67",0,"66,67",100,"33,33","71,43",100,"66,67"
Terra Santa,"86,67","14,29",80,0,50,100,100,"73,08",100,50,"66,67",80
Tomé-Açu,"77,65","97,6","94,16",94,"96,75","95,63","88,37","97,37","96,25","78,38",40,100
Tracuateua,50,0,100,0,50,50,"33,33",0,0,100,80,"82,61"
Trairão,"86,27","10,81","92,86","9,68","7,41",56,"37,5",25,52,50,"43,75","96,67"
Tucumã,"5,56","5,71",0,0,"3,85","44,44",0,"97,67","80,95","90,32","89,29",92
Tucuruí,"13,43","87,69","96,15","96,55","94,29","98,41","84,91","94,74","90,91","68,75","52,17","66,67"
Ulianópolis,78,"81,67","81,69","88,1","86,96","83,58","87,5","90,18","86,84",50,"67,74","97,7"
Uruará,"99,22","98,81","80,16","56,74","56,1","95,33","94,26","79,38","95,74","88,1",100,"99,17"
Vigia,0,0,0,0,0,0,0,0,0,0,0,0
Viseu,"88,89","81,82",55,0,"12,82","9,52",0,0,100,0,"62,5","95,6"
Vitória do Xingu,100,100,100,"87,5",70,85,100,88,"71,43","81,82","68,42","63,16"
Xinguara,"70,59","33,33","85,71",100,"76,92","66,67",70,"33,33","93,75","83,33","92,86",100
