id,Município,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
120070,Xapuri,"153,22","157,37","154,83","75,73","145,59","129,02","160,29","256,09","126,08","65,61","182,41","151,99"
120000,Município ignorado - AC,"10,42","9,96","3,27","2,92","5,73","11,26","5,46","10,72","7,9","2,59","2,55","2,51"
130002,Alvarães,"115,83","110,17","74,81","24,8","118,48","93,37","97,43","72,83","53,24","33,77","163,55","380,44"
130006,Amaturá,"35,5","33,77","26,5","34,14","20,19","39,83","19,45","25,59","18,94","24,95","18,49","36,37"
130008,Anamã,0,"23,87","15,78",0,"7,22",0,0,"6,91","20,5",0,0,0
130010,Anori,"319,47","302,16","144,16","215,09","234,7","234,58","158,71","226,47","202,9","99,59","171,51","97,06"
130014,Apuí,"131,67","117,42","69,94","83,7","105,34","239,61","99,04","148,7","269,64","80,17","105,69","88,47"
130020,Atalaia do Norte,"164,55","167,75","165,19","36,55","100,9","247,17","91,69","194,77","73,33","59,29","208,96","92,37"
130030,Autazes,"35,41","98,16","74,64","6,99","27,58","44,21","23,27","49,2","64,77","31,99","28,46","59,06"
130040,Barcelos,"250,11","164,46","105,65","36,53","112,67","186,22","125,71","181,04","102,86","58,51","123,81","49,89"
130050,Barreirinha,"6,6","12,72","12,63","6,14","6,08","12,05","5,93","11,77",0,0,"5,76","11,29"
130060,Benjamin Constant,"29,39","51,96","60,96","25,4","46,49","38,53","84,61","116,01","58,49","79,72","112,78","68,07"
130063,Beruri,"258,05","421,9","228,83","104,86","217,97","211,26","167,22","239,02","270,22","105,27","125,05","61,72"
130068,Boa Vista do Ramos,0,0,"13,7","26,71","13,39","13,4","13,4","94,04","40,41",0,0,"13,16"
130070,Boca do Acre,"193,79","153,96","89,37","107,38","135,73","102,92","110,82","120,47","71,02","29,48","66,35","98,42"
130080,Borba,"40,51","30,96","34,69","34,43","72,4","40,88","54,37","71,45","86,35","25,99","52,88","44,36"
130083,Caapiranga,"92,79",0,"30,67","49,76","33,61","51,12","69,65",0,"36,13","18,4","74,89","89,98"
130090,Canutama,0,0,0,0,0,0,"12,68",0,"12,7",0,0,0
130100,Carauari,"55,09","22,89","45,66","31,49","31,5","7,87","55,03","31,5","47,34","15,81",0,0
130110,Careiro,"234,66","141,88","132,71","142,08","157,61","109,69","130,39",213,"98,13","44,31","122,89","178,26"
130115,Careiro da Várzea,"4,12",0,0,0,0,0,0,0,0,0,0,0
130120,Coari,"151,36","204,31","210,44","101,6","353,01","233,86","89,14","145,09","214,47","99,46","326,58","168,5"
130130,Codajás,"67,95","57,78","46,28","23,56","37,4","22,52","27,14","31,86","31,19","28,03","35,01","27,19"
130140,Eirunepé,"279,92","219,61","188,18","116,18","224,97","167,09","163,59","263,07","154,11","120,14","106,65","240,92"
130150,Envira,"9,56",0,0,0,0,"28,98","28,76","19,12",0,"9,51","9,49","9,27"
130160,Fonte Boa,0,0,0,0,0,"7,91",0,0,0,0,0,0
130165,Guajará,"17,03","7,49","14,91","3,97","13,07","11,63","11,39","5,01","11,14","2,45","27,89","8,33"
130170,Humaitá,"82,39","22,91","17,2","16,93","16,94","22,56","22,5","45,06","56,38","16,93","16,94",11
130180,Ipixuna,"277,68","116,84","66,98","108,57","128,4","212,34","128,68","175,84","100,05","37,65","90,33","59,73"
130185,Iranduba,"133,54","91,34","91,49","57,4","106,61","87,23","81,17","89,92","79,05","45,86","116,11","94,94"
130190,Itacoatiara,"8,09","10,34","7,66",0,0,"2,63","2,59","12,88",0,"10,17","12,64","2,47"
130195,Itamarati,"17,57","5,6",0,0,0,0,0,"13,64",0,0,"4,33","12,81"
130200,Itapiranga,"7,29",0,0,0,"5,69",0,0,0,0,0,0,0
130210,Japurá,0,0,0,0,0,0,0,0,0,0,0,0
130220,Juruá,0,"3,67","3,6",0,0,0,0,"1,53","1,5","1,48",0,0
130230,Jutaí,"33,11","43,19","16,29","15,45","46,33","46,32","46,26","20,6","20,64","10,34","46,59","85,63"
130240,Lábrea,"137,4","34,97","84,37","29,07","28,27","49,59","73,94","30,87","50,19","9,81","38,37","14,26"
130250,Manacapuru,"4,52","26,09","4,31","30,39","12,93","4,28",0,"8,41",0,0,"8,27",0
130255,Manaquiri,"103,97","62,43","83,59","65,92","36,17","23,36","25,38","23,05","19,39","5,8","12,72","15,45"
130260,Manaus,"42,66","48,26","44,46","24,76","34,68","38,33","18,37","35,45","17,09","9,51","14,17","18,17"
130270,Manicoré,"33,29",0,0,"32,55","16,14","32,01",0,0,0,0,0,"45,02"
130280,Maraã,"4,03",0,"3,72",0,"7,35","7,22","24,5","10,31","3,38",0,0,0
130290,Maués,0,0,"23,72",0,0,0,"17,38",0,"11,48",0,"5,69",0
130300,Nhamundá,"37,93","100,51","72,52","129,65","124,09","16,95","24,99","57,77","12,27",0,"40,23","7,89"
130310,Nova Olinda do Norte,"7,38",0,"14,33","30,17","33,3","39,72","19,64","22,8","12,97",0,"22,49","25,13"
130320,Novo Airão,"94,53","77,85","52,08",23,"55,38","30,03","38,34","62,71","67,13","33,17","40,06","70,53"
130330,Novo Aripuanã,"16,79","16,69","17,03","26,32","59,51","13,17","19,61",0,0,"19,46","45,3","44,21"
130340,Parintins,"56,29","31,63","51,94","27,36","58,99","23,74","39,91","88,61","154,43","24,6","12,4","20,01"
130350,Pauini,0,"20,21","19,85","18,99","18,66","18,35","17,83","17,53",0,0,0,"33,01"
130353,Presidente Figueiredo,0,"10,16","5,03",0,"4,79",0,"27,86","9,19",0,0,"13,38",0
130356,Rio Preto da Eva,"42,83","8,36","33,55","68,45","75,61","82,75","81,97","96,51","96,15","58,96","80,79",0
130360,Santa Isabel do Rio Negro,"2,33","6,74","6,69","5,82","5,73","7,53","1,84","3,62","1,79",0,0,"3,43"
130370,Santo Antônio do Içá,"19,51",0,"4,57","8,74","8,58","4,22",0,"12,11","3,97",0,0,0
130380,São Gabriel da Cachoeira,0,0,"35,66",0,0,0,0,"18,21",0,0,0,"17,1"
130390,São Paulo de Olivença,"230,74","157,9","76,21","115,4","171,34","118,66","89,21","173,91","211,38","163,98","563,53","261,85"
130395,São Sebastião do Uatumã,0,0,"4,45",0,0,0,0,0,0,0,0,0
130400,Silves,"234,91","142,28","185,64","61,79","140,72","195,39","87,24","183,16","97,78","25,92","60,98","54,02"
130406,Tabatinga,0,"19,28","9,45",0,"9,6",0,"18,48","9,11","8,99","35,52",0,"25,88"
130410,Tapauá,"97,94","31,48","31,24","5,9","11,68","34,67",0,"101,22","11,14","5,52","10,95","21,48"
130420,Tefé,"324,97","263,8","285,97","93,78","258,61","343,61","74,43","240,82","133,98","62,2","76,16","97,05"
130423,Tonantins,"7,65","3,65","3,59","10,92","7,19","7,1","10,43","24,03","3,39","6,71","33,21","104,38"
130426,Uarini,"316,83","219,45","64,2","183,59","163,81","127,15","141,48","117,45","127,18","54,7","167,85","154,2"
130430,Urucará,"30,17","65,48","43,34","71,32","55,34","37,19","44,42","95,44","42,89","68,57","72,71","56,33"
130440,Urucurituba,"26,89","21,27","33,33","27,8","16,17","19,87","15,44","22,76","18,66","17,45","10,86","14,27"
130000,Município ignorado - AM,"291,71","127,59","183,23","196,1","143,84","131,97","122,07","227,12","53,82","26,91","43,46","126,67"
140005,Alto Alegre,"223,78","490,32","200,4","319,77","364,18","328,66","254,86","336,27","422,6","101,42","246,28","263,64"
140002,Amajari,0,0,"6,49","2,09",0,0,"7,99",0,0,"3,87","1,92","3,76"
140010,Boa Vista,"24,43","32,64","43,23","19,41","71,74","78,17","51,44","49,41","8,47","15,15","40,18","149,06"
140015,Bonfim,"72,22","40,78","51,74","59,35","176,38","159,69","163,45","189,58","145,76","68,65","129,08","146,79"
140017,Cantá,"46,81","29,95","37,01","36,97","29,28","19,33","23,76","23,55","37,35","27,79","34,46","18,01"
140020,Caracaraí,0,0,0,0,0,0,0,0,0,0,0,0
